umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
10,4,0.1,10,0.7507822
3,8,0.09,9,0.7507509
10,5,0.06,10,0.7506608
5,5,0.1,9,0.7505806
4,4,0.07,10,0.7503642
9,4,0.06,10,0.750266
9,4,0.08,10,0.75021625
9,4,0.13,10,0.7501901
3,6,0.04,8,0.7501289
6,5,0.12,10,0.7501247
9,8,0.08,10,0.7501103
3,3,0.09,10,0.75002325
8,7,0.05,10,0.7499434
7,8,0.08,9,0.7498102
5,4,0.09,10,0.74980956
7,4,0.09,10,0.74971664
3,6,0.09,10,0.74944645
2,7,0.14,10,0.74925923
9,4,0.09,10,0.74913436
5,6,0.11,9,0.7490954
2,6,0.12,10,0.748971
6,6,0.08,10,0.7488578
8,6,0.04,10,0.74870974
7,6,0.14,9,0.74870604
8,6,0.14,10,0.7486462
4,6,0.07,9,0.7485898
10,7,0.03,10,0.74856526
9,7,0.04,9,0.74853873
2,8,0.15,10,0.74852383
8,4,0.07,10,0.748478
4,8,0.04,10,0.74835193
4,4,0.04,10,0.7483305
2,3,0.03,10,0.7482022
4,8,0.13,10,0.74813366
9,5,0.11,10,0.7480127
10,3,0.06,10,0.747973
4,7,0.02,10,0.74793416
5,8,0.02,9,0.74787074
2,8,0.03,9,0.7478662
9,8,0.1,10,0.74782294
6,7,0.13,10,0.74773437
3,7,0.05,10,0.747621
9,7,0.1,10,0.747615
2,4,0.02,10,0.7476104
2,6,0.14,10,0.74747807
8,4,0.11,10,0.74743044
7,6,0.04,10,0.7474051
4,8,0.11,10,0.74728364
9,7,0.09,10,0.74718684
3,8,0.07,10,0.7471414
4,9,0.04,9,0.7470757
3,5,0.14,10,0.7468854
4,5,0.09,10,0.746848
2,7,0.04,10,0.7468394
2,6,0.15,9,0.74680173
3,7,0.13,10,0.7466554
4,5,0.13,10,0.7466093
8,5,0.11,10,0.7465188
9,8,0.05,10,0.74642974
5,5,0.13,9,0.7462408
8,8,0.06,10,0.7462142
6,4,0.09,10,0.74615437
6,4,0.04,10,0.7461252
2,6,0.15,10,0.74598724
5,5,0.06,9,0.7459067
3,9,0.13,10,0.7458865
2,3,0.05,9,0.74575967
7,7,0.09,10,0.7457328
8,9,0.11,10,0.74564254
10,6,0.12,10,0.7455996
3,4,0.06,9,0.7455805
7,5,0.07,10,0.7453664
4,5,0.14,10,0.7453273
9,6,0.06,10,0.74525017
6,4,0.05,10,0.7452155
7,5,0.03,10,0.74521095
7,7,0.05,10,0.7449403
7,8,0.09,10,0.74489933
7,8,0.13,10,0.7448977
6,4,0.07,10,0.74465823
6,8,0.13,10,0.7444824
2,4,0.11,10,0.7444455
9,7,0.05,9,0.7443976
10,4,0.06,10,0.7443772
2,8,0.14,9,0.7442733
5,4,0.06,10,0.7441175
8,7,0.14,10,0.74410605
5,5,0.07,10,0.74409187
5,4,0.03,10,0.7440624
9,7,0.15,10,0.7440039
6,8,0.04,10,0.74394053
7,6,0.1,10,0.74394006
4,4,0.12,10,0.7439223
6,4,0.11,10,0.74388474
3,4,0.08,9,0.7436854
2,5,0.03,10,0.7436459
3,5,0.13,9,0.7436189
9,5,0.02,10,0.7436115
7,4,0.1,10,0.7435412
2,4,0.04,9,0.7431054
9,5,0.03,10,0.74307853
3,4,0.07,9,0.7430454
6,4,0.02,10,0.7429634
9,4,0.03,10,0.7429555
2,5,0.05,9,0.74292517
9,6,0.03,10,0.7428834
2,6,0.05,8,0.7428426
10,8,0.12,10,0.74280614
3,8,0.06,10,0.74274653
2,4,0.12,9,0.742724
10,6,0.03,10,0.7427073
6,6,0.03,10,0.7426993
2,3,0.04,10,0.7426882
4,9,0.14,10,0.74268174
6,5,0.03,10,0.7424963
4,5,0.07,9,0.74241203
3,3,0.14,10,0.7423995
8,8,0.07,10,0.7423741
5,5,0.05,9,0.7422946
7,7,0.1,10,0.74227744
