tsne_dimension,perplexity,k,silhouette_score
2,6.5,7,0.37459505
2,8.75,7,0.3741049
2,4.25,7,0.3716502
2,8.25,7,0.36771464
2,8.0,7,0.36689228
2,4.5,6,0.36606568
2,6.75,6,0.3653548
2,9.5,7,0.36361015
2,3.75,7,0.36334804
2,6.25,6,0.36265957
2,8.0,8,0.36227998
2,7.25,9,0.36126032
2,3.0,6,0.3602514
2,3.75,10,0.36022836
2,5.25,8,0.3601184
2,5.25,7,0.35998684
2,7.25,6,0.35911185
2,5.5,7,0.35895917
2,9.5,8,0.35833448
2,2.25,6,0.35777098
2,8.5,7,0.35709643
2,3.25,8,0.3564299
2,9.5,6,0.35568902
2,4.0,5,0.35564205
2,3.25,7,0.35532698
2,3.25,10,0.3551221
2,9.0,7,0.3548828
2,10.25,7,0.35460934
2,3.25,9,0.3544463
2,2.5,6,0.35396454
2,3.75,8,0.35379538
2,6.25,9,0.3533982
2,5.25,9,0.35309812
2,2.0,7,0.3529715
2,7.0,8,0.35291284
2,7.0,10,0.35286742
2,4.75,6,0.3528509
2,3.5,10,0.3528361
2,6.0,6,0.35281947
2,3.0,8,0.35254416
2,5.0,6,0.35227364
2,8.5,9,0.3521812
2,6.75,8,0.3521534
2,3.0,7,0.35208508
2,4.0,6,0.352027
2,9.25,7,0.3520193
2,8.0,5,0.35181028
2,4.5,7,0.3517116
2,4.25,10,0.3514255
2,10.25,10,0.35099632
2,4.25,6,0.35085297
2,9.5,10,0.3507482
2,6.0,7,0.35054547
2,6.75,5,0.35053748
2,2.75,8,0.3503623
2,5.25,5,0.34963548
2,6.25,8,0.3495426
2,10.0,7,0.34940803
2,4.75,7,0.34913602
2,8.0,10,0.34871635
2,10.25,8,0.34868157
2,1.75,7,0.34847173
2,5.25,10,0.3480884
2,4.75,9,0.34785527
2,7.0,7,0.34779075
2,6.25,10,0.3476652
2,1.5,7,0.3476365
2,6.5,10,0.34756818
2,4.25,8,0.34749275
2,2.75,7,0.3471642
2,7.0,5,0.34699664
2,7.75,6,0.34699598
2,8.25,8,0.34689316
2,2.75,9,0.34678057
2,7.25,10,0.3466858
2,6.75,7,0.34655944
2,9.75,7,0.34599474
2,8.75,8,0.34583077
2,3.5,8,0.34574768
2,9.5,9,0.34563708
2,2.25,7,0.3454183
2,4.75,8,0.34527576
2,9.25,5,0.34520864
2,6.75,9,0.34512773
2,4.75,10,0.34471318
2,2.5,7,0.34448555
2,4.25,5,0.3441623
2,7.75,8,0.34415653
2,4.5,8,0.34412333
2,8.5,5,0.3440178
2,8.5,8,0.3439042
2,8.25,9,0.34381038
2,7.5,5,0.34362364
2,8.0,6,0.34337813
2,5.75,8,0.3433077
2,5.5,5,0.34319785
2,0.5,7,0.3430786
2,5.5,8,0.34294963
2,9.25,8,0.34283832
2,6.5,6,0.34282684
2,6.0,5,0.34279364
2,2.25,5,0.34277657
2,3.0,5,0.34255835
2,3.0,9,0.34254366
2,0.75,7,0.34251752
2,5.0,9,0.34248656
2,4.5,5,0.34244525
2,7.25,8,0.34221447
2,5.75,5,0.34218958
2,1.25,7,0.3420503
2,9.25,6,0.34186286
2,5.0,8,0.34118584
2,6.5,9,0.34117743
2,3.75,9,0.34087554
2,8.75,10,0.34084234
2,4.5,9,0.340579
2,1.5,6,0.3400304
2,0.75,6,0.33990756
2,10.0,10,0.33969718
2,3.75,5,0.33969343
2,6.0,8,0.33944803
2,5.0,7,0.3393567
2,9.0,10,0.33920255
2,3.5,9,0.3390853
2,5.75,9,0.3389246
2,9.0,6,0.33881715
2,7.75,7,0.3387508
2,2.25,9,0.33870137
2,2.5,5,0.33845267
2,7.25,7,0.33829492
2,4.0,8,0.33826616
2,9.25,9,0.33760834
2,2.25,10,0.33705285
2,7.25,5,0.33690754
2,9.0,5,0.33672196
2,7.5,6,0.3366635
2,6.75,10,0.3365033
2,8.75,9,0.33626902
2,6.5,5,0.33617324
2,6.0,10,0.33599135
2,8.0,9,0.33595031
2,4.25,9,0.33584857
2,7.5,9,0.33556
2,10.25,5,0.33542088
2,2.75,10,0.3351936
2,1.75,8,0.33497858
2,4.0,7,0.3347999
2,10.25,9,0.3345468
2,1.0,8,0.33431748
2,9.0,9,0.33429816
2,7.5,8,0.33425656
2,8.75,5,0.33424523
2,2.0,5,0.33414704
2,7.75,5,0.33412504
2,9.0,8,0.33386093
2,4.0,10,0.3337901
2,4.5,10,0.33350357
2,5.5,6,0.333367
2,9.75,8,0.33307493
2,6.25,5,0.33246583
2,4.75,5,0.33231857
2,9.75,5,0.33201054
2,2.5,8,0.33144045
2,0.5,6,0.33123794
2,9.25,10,0.3311672
2,7.0,9,0.33115938
2,3.25,5,0.33099264
2,1.75,5,0.3307142
2,5.75,7,0.33006898
2,7.75,10,0.3299539
2,8.25,5,0.32986793
2,6.0,9,0.3290999
2,8.75,6,0.32908434
2,10.25,6,0.32899496
2,1.75,9,0.32891765
2,5.0,10,0.32872525
2,8.5,10,0.3286652
2,8.5,6,0.3283586
2,3.0,10,0.32815996
2,4.0,9,0.3277409
2,0.75,5,0.32763526
2,9.5,5,0.326854
2,7.5,10,0.32672548
2,1.25,8,0.32671908
2,2.25,8,0.32669336
2,10.0,9,0.325564
2,3.5,6,0.325324
2,9.75,6,0.32490024
2,10.0,8,0.32463074
2,5.5,10,0.32450745
2,0.75,8,0.32389346
2,5.75,10,0.32383618
2,0.5,5,0.3238121
2,2.5,10,0.3233769
2,2.0,6,0.32315472
2,7.5,7,0.3230496
2,10.0,5,0.32254463
2,8.25,6,0.32238552
2,5.5,9,0.32238057
2,10.0,6,0.32229847
2,9.75,9,0.32218164
2,7.0,6,0.32215944
2,6.5,8,0.3220125
2,5.25,6,0.32187054
2,5.0,5,0.32182282
2,2.75,5,0.32163775
2,0.5,10,0.321532
2,0.5,8,0.32146227
2,1.0,5,0.32140926
2,1.0,9,0.32123214
2,7.75,9,0.32101065
2,2.0,10,0.3207024
2,1.25,9,0.32010353
2,9.75,10,0.31954685
2,1.25,5,0.3190365
2,1.5,5,0.31808925
2,8.25,10,0.31731343
2,1.75,10,0.3171511
2,6.25,7,0.3169053
2,0.5,9,0.3161667
2,3.5,5,0.31616333
2,1.0,10,0.31614563
2,0.75,10,0.31515798
2,5.75,6,0.31330752
2,1.75,6,0.3128407
2,0.75,9,0.31280568
2,3.5,7,0.3114277
2,1.25,10,0.31110752
2,1.5,9,0.3110827
2,3.25,6,0.30962688
2,2.75,6,0.30897212
2,2.0,9,0.30863258
2,1.5,10,0.30719206
2,1.5,8,0.30490622
2,3.75,6,0.3045974
2,1.0,6,0.30378813
2,1.25,6,0.30236015
2,2.0,8,0.3022895
2,2.5,9,0.30044928
2,1.0,7,0.28593317
3,4.5,10,0.2722138
3,5.25,7,0.26816246
3,5.25,9,0.26656306
3,4.5,9,0.26629353
3,7.75,8,0.2658449
3,3.75,9,0.26544216
3,7.75,7,0.26540148
3,7.0,8,0.26332235
3,9.5,6,0.2630036
3,6.75,7,0.2627016
3,9.75,10,0.26259565
3,4.75,7,0.26153135
3,6.25,6,0.26037458
3,2.0,6,0.2596926
3,5.25,6,0.25846758
3,10.25,7,0.25758582
3,8.75,10,0.25737655
3,8.25,6,0.25734583
3,5.75,6,0.25695068
3,9.5,10,0.2567586
3,5.25,8,0.25650823
3,8.5,6,0.25648865
3,7.0,6,0.25607017
3,6.5,8,0.2558739
3,6.5,6,0.25576663
3,6.75,10,0.25548068
3,3.75,7,0.25487053
3,8.5,7,0.2547774
3,9.25,6,0.25464153
3,5.0,10,0.25444093
3,9.25,8,0.25437042
3,7.25,7,0.25433943
3,3.25,7,0.254139
3,6.5,9,0.2539791
3,4.5,8,0.25367305
3,6.25,7,0.25339672
3,6.75,8,0.25338376
3,3.75,10,0.25333533
3,6.5,10,0.25289366
3,2.25,6,0.2527874
3,5.5,9,0.25200686
3,7.25,5,0.25184038
3,3.25,5,0.25181225
3,3.0,6,0.2514378
3,4.0,7,0.25140032
3,3.25,9,0.25131738
3,5.75,10,0.25103313
3,9.25,9,0.25089735
3,8.0,6,0.2505695
3,6.0,8,0.25050142
3,5.5,5,0.2502617
3,10.0,6,0.24984938
3,6.25,10,0.24977608
3,3.5,5,0.24935517
3,2.0,7,0.24913073
3,2.75,7,0.24904999
3,9.75,8,0.24899514
3,7.0,5,0.24890059
3,8.75,7,0.24880226
3,5.5,10,0.24875069
3,8.25,7,0.24863532
3,4.75,8,0.24852088
3,9.5,7,0.24827619
3,3.25,10,0.24805741
3,9.0,7,0.24793774
3,5.0,8,0.24784848
3,8.5,5,0.24784821
3,5.75,9,0.24742715
3,6.5,5,0.24706751
3,3.25,6,0.24705115
3,6.75,6,0.24703646
3,8.25,10,0.24700834
3,5.25,5,0.24678598
3,3.5,7,0.24667832
3,1.25,6,0.24661796
3,3.0,7,0.24657372
3,6.0,6,0.24633035
3,8.75,8,0.24627884
3,5.75,5,0.24609862
3,7.5,8,0.24596089
3,9.75,9,0.24594596
3,0.5,10,0.24559167
3,1.75,6,0.2454801
3,2.5,6,0.24493805
3,3.0,5,0.24470152
3,5.5,8,0.24448217
3,2.25,10,0.24439573
3,6.75,9,0.244233
3,4.0,9,0.24414521
3,4.5,7,0.24412721
3,1.0,8,0.24402967
3,1.5,6,0.24373682
3,8.5,9,0.24368748
3,2.75,9,0.24361347
3,4.75,5,0.2434516
3,6.0,5,0.24339338
3,8.75,9,0.24332774
3,9.25,5,0.24331434
3,9.75,5,0.24309881
3,10.0,8,0.24308376
3,3.25,8,0.24301441
3,7.75,5,0.24300101
3,7.0,9,0.24296346
3,8.0,9,0.24279371
3,4.0,6,0.24278721
3,3.75,8,0.24271287
3,3.5,10,0.24257882
3,0.5,7,0.24255
3,4.75,9,0.24250169
3,2.75,5,0.24227902
3,8.25,5,0.24211764
3,5.75,8,0.24204561
3,10.0,10,0.24169305
3,7.5,6,0.24167766
3,6.75,5,0.24164008
3,3.0,8,0.24130587
3,8.0,5,0.24124472
3,8.0,8,0.24123615
3,10.25,6,0.24070758
3,7.75,6,0.24056745
3,2.25,8,0.24055213
3,8.0,10,0.24048819
3,5.0,7,0.2404165
3,3.75,5,0.24038307
3,5.0,5,0.24033162
3,2.0,8,0.24013895
3,8.0,7,0.2397121
3,4.75,6,0.23970537
3,8.5,8,0.23951925
3,6.0,7,0.23928913
3,10.25,10,0.23923449
3,6.5,7,0.23916371
3,6.25,8,0.23913519
3,4.25,5,0.23881197
3,7.25,8,0.23854685
3,9.75,7,0.23854429
3,9.0,8,0.23838228
3,0.5,9,0.23832855
3,7.25,6,0.2382881
3,5.5,6,0.23825623
3,8.75,6,0.23783836
3,7.5,10,0.23729686
3,3.5,8,0.23725146
3,5.25,10,0.23721571
3,10.25,5,0.23710299
3,7.25,10,0.23709077
3,2.75,10,0.23691806
3,2.25,5,0.23691493
3,7.5,5,0.23683539
3,5.0,9,0.23656638
3,8.75,5,0.2364955
3,7.75,9,0.23639876
3,6.0,10,0.23627345
3,2.75,8,0.23614211
3,7.75,10,0.2359965
3,0.75,6,0.23567341
3,0.5,6,0.235552
3,2.0,5,0.23552229
3,10.0,7,0.23536605
3,3.5,9,0.23519053
3,8.25,9,0.23499289
3,2.0,9,0.23476355
3,1.75,8,0.23474194
3,0.75,5,0.23463292
3,9.25,7,0.2346056
3,1.0,5,0.23450427
3,1.75,7,0.23436595
3,5.75,7,0.23428153
3,9.0,6,0.23417889
3,1.5,9,0.23414609
3,6.25,5,0.23412669
3,4.75,10,0.23390137
3,6.0,9,0.23371114
3,2.25,9,0.23368701
3,10.25,8,0.2332412
3,7.0,10,0.23296326
3,4.5,5,0.23278591
3,9.25,10,0.2326905
3,1.0,9,0.23268926
3,1.0,7,0.23267436
3,4.0,8,0.2325447
3,4.0,10,0.23242493
3,9.0,10,0.2323311
3,2.5,5,0.23222162
3,1.5,10,0.23195891
3,1.5,5,0.23182198
3,1.75,9,0.23180339
3,10.0,9,0.23146088
3,0.75,7,0.23126031
3,8.5,10,0.23125726
3,1.25,7,0.23095147
3,1.5,7,0.23072837
3,3.5,6,0.23063867
3,9.5,5,0.23046467
3,3.75,6,0.23026033
3,2.5,7,0.2299595
3,4.25,6,0.22992153
3,7.5,7,0.22941822
3,3.0,9,0.22911327
3,0.5,5,0.22909096
3,2.5,10,0.22892985
3,1.0,10,0.22886941
3,5.0,6,0.22877711
3,0.5,8,0.22841746
3,9.75,6,0.22821237
3,1.5,8,0.22801681
3,4.25,9,0.22756627
3,2.25,7,0.22751977
3,1.0,6,0.22749412
3,10.0,5,0.22739609
3,1.75,5,0.22725232
3,9.0,5,0.22715065
3,9.0,9,0.22661917
3,3.0,10,0.22659934
3,0.75,9,0.22644822
3,9.5,9,0.22596768
3,2.0,10,0.22562754
3,0.75,8,0.22476004
3,1.25,5,0.2247435
3,7.25,9,0.2246112
3,4.0,5,0.2241984
3,2.75,6,0.22414732
3,7.5,9,0.22384201
3,10.25,9,0.2235256
3,2.5,8,0.22293055
3,9.5,8,0.22242817
3,4.5,6,0.2222452
3,1.25,9,0.22190279
3,8.25,8,0.22038507
3,0.75,10,0.21888126
3,5.5,7,0.21855752
3,6.25,9,0.21848129
3,1.25,10,0.21834484
3,4.25,10,0.21738648
3,1.25,8,0.21723236
3,1.75,10,0.21664944
3,7.0,7,0.2161482
3,4.25,7,0.21557319
3,4.25,8,0.21251747
3,2.5,9,0.20987087
