book_name,genre,embedding
A Short History of Nearly Everything,"['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Physics', 'Popular Science', '...more']","[-0.033360451459884644, 0.01089590322226286, 0.03622421994805336, 0.05750757455825806, 0.005252909380942583, -0.01102092768996954, -0.017897464334964752, 0.028594519942998886, 0.00041991917532868683, 0.01619674079120159, -0.033189527690410614, 0.008800127543509007, -0.01984584704041481, -0.020120613276958466, -0.04221523553133011, -0.005726019851863384, -0.03410910815000534, -0.05313515663146973, -0.004594773985445499, -0.021822866052389145, -0.04875240474939346, 0.08519352972507477, 0.038840778172016144, 0.020809173583984375, -0.03749872371554375, -0.01702512614428997, 0.0010387301445007324, -0.042190536856651306, -0.0557013601064682, -0.033172618597745895, 0.003093385137617588, 0.07437345385551453, 0.018098410218954086, -0.04452724754810333, 0.00911352876573801, 0.027073144912719727, 0.04559947922825813, 0.005109307821840048, 0.02917747013270855, 0.0025842885952442884, 0.003556621726602316, -0.02477427013218403, 0.015245960094034672, 0.06437686085700989, -0.006888953037559986, -0.00030804984271526337, 0.0011447625001892447, -0.06392474472522736, 0.0027066366747021675, -0.0045777661725878716, -0.06249372661113739, -0.014939418993890285, -0.02787519246339798, -0.02241908200085163, 0.03274274617433548, 0.06940292567014694, -0.009667282924056053, -0.007298759184777737, -0.0047210827469825745, -0.08060260862112045, -0.0067246826365590096, -0.0770053118467331, -0.028184792026877403, 0.003292038571089506, 0.036970313638448715, 0.018036341294646263, -0.019223663955926895, -0.002784573705866933, -0.0025099345948547125, 0.03367035090923309, -0.016702165827155113, 0.040204230695962906, 0.06084597483277321, 0.03526724874973297, 0.08217011392116547, -0.024051299318671227, -0.04057133197784424, 0.00288926949724555, 0.027089077979326248, -0.026230957359075546, 0.007507579401135445, 0.002885882742702961, -0.019096266478300095, -0.023545295000076294, -0.06722407042980194, -0.05095527693629265, 0.025467554107308388, -0.027530312538146973, -0.018732596188783646, -0.010005567222833633, 0.03518335148692131, -0.04770759865641594, 0.028872506693005562, 0.0194991547614336, 0.0031101061031222343, 0.09311266243457794, 0.01129704900085926, -0.03451783210039139, 0.01131156925112009, 0.0025521640200167894, 0.04719451442360878, 0.040520068258047104, -0.02047368697822094, 0.02109532617032528, 0.033113665878772736, -0.09456924349069595, -0.032729800790548325, -0.001584872487001121, 0.009255333803594112, -0.006032520905137062, 0.009534151293337345, 0.0021769776940345764, -0.027500059455633163, 0.0175482127815485, 0.04130680114030838, -0.01650862768292427, 0.08171446621417999, 0.023952646180987358, 0.01498060580343008, 0.03028067946434021, -0.02260187268257141, 0.05371963232755661, -0.019865917041897774, 0.032730214297771454, -0.0018299551447853446, -0.05899839848279953, 0.033145029097795486, 2.1138477773875484e-33, 0.03146481141448021, 0.03020745888352394, -0.022285830229520798, 0.08509881049394608, 0.0379643440246582, 0.00195323140360415, -0.007947704754769802, -0.020347068086266518, -0.027638226747512817, -0.015290637500584126, 0.014968354254961014, 0.058246348053216934, 0.022444844245910645, 0.04243507608771324, -0.048795297741889954, 0.01490738894790411, -0.08556215465068817, -0.03110639937222004, 0.050376228988170624, -0.022140663117170334, -0.020348230376839638, 5.768396931671305e-06, 0.0009980285540223122, -0.05698494613170624, 0.009017660282552242, 0.019734444096684456, 0.007878907956182957, -0.02745325304567814, -0.006574148312211037, 0.005239163525402546, -0.034970469772815704, 0.01883971504867077, -0.05570196360349655, -0.03483312949538231, 0.003113626269623637, -0.006892365403473377, -0.013638453558087349, -0.04583991318941116, 0.012751644477248192, -0.000848828291054815, -0.024616964161396027, 0.04188164696097374, -0.016948219388723373, -0.0516117662191391, 0.01188009511679411, 0.08027177304029465, 0.06486492604017258, 0.021519489586353302, 0.0017345480155199766, 0.032090093940496445, -0.030968768522143364, -0.05446220189332962, 0.0440647229552269, -0.010446643456816673, -0.002710924483835697, 0.026726407930254936, -0.01625358685851097, -0.0006426277104765177, 0.0012995327124372125, 0.00138984271325171, 0.04704565182328224, 0.0695275291800499, 0.009335944429039955, 0.020375307649374008, 0.012064814567565918, 0.03451293334364891, -0.09059308469295502, 0.008225712925195694, -0.03347627446055412, -0.027308467775583267, -0.062057238072156906, -0.009285110980272293, -0.013406949117779732, -0.05902530997991562, -0.015089253894984722, -0.008302711881697178, 0.004228632431477308, -0.05135943368077278, -0.0067474148236215115, -0.03016519546508789, 0.007720691151916981, -0.01029979344457388, -0.008270137943327427, -0.06082731485366821, -0.038512442260980606, -0.02997109293937683, 0.016448553651571274, -0.019756095483899117, -0.007745201233774424, -0.002616081852465868, 0.02158076874911785, -0.036411263048648834, 0.05993833765387535, -0.044638268649578094, -0.057759251445531845, -3.787955240417972e-33, 0.0008486059377901256, -0.06597478687763214, 0.008755329996347427, 0.03742954507470131, 0.01548682525753975, -0.012574060820043087, -0.09822218865156174, 0.02545078471302986, -0.015628132969141006, -0.05822993069887161, 0.011987756937742233, 0.04672801494598389, 0.055270321667194366, -0.044065218418836594, -0.004093557130545378, -0.033865220844745636, -0.0280560664832592, -0.0222756527364254, -0.019701043143868446, 0.00909650418907404, -0.02280142903327942, 0.00383479380980134, -0.08427280932664871, -0.07896532118320465, 0.010492576286196709, 0.060253165662288666, 0.03444095328450203, -0.021002551540732384, -0.021134329959750175, 0.024905793368816376, -0.020429225638508797, 0.03163896128535271, 0.009575499221682549, -0.023424167186021805, -0.02595834620296955, 0.032745957374572754, 0.0420825332403183, -0.0017225106712430716, -0.0019697549287229776, -0.05974145978689194, 0.00438291858881712, 0.054752372205257416, -0.009191391058266163, -0.07843541353940964, 0.008953986689448357, 0.004750850144773722, 0.0289028100669384, 0.05622744560241699, -0.05460768938064575, 0.08410310000181198, 0.028570635244250298, -0.008824018761515617, -0.003600562922656536, -0.045371849089860916, 0.0031505650840699673, 0.02864118106663227, 0.018334778025746346, 0.008745062164962292, 0.03961782157421112, 0.020373430103063583, -0.05407194048166275, 0.034643132239580154, -0.009108677506446838, 0.06058354675769806, -0.02963542751967907, -0.05987340211868286, -0.01851157285273075, 0.023512788116931915, -0.0040765502490103245, -0.014146819710731506, -0.05947268009185791, -0.011564970016479492, -0.03311881050467491, -0.055284108966588974, 0.04277799651026726, 0.10466794669628143, 0.029253242537379265, -0.022010456770658493, -0.03993367403745651, 0.019253501668572426, 0.015946991741657257, 0.010324300266802311, 0.025501132011413574, 0.02348432131111622, 0.05310975760221481, 0.02687796950340271, -0.03001813404262066, -0.013902243226766586, -0.0028353494126349688, 0.011671345680952072, -0.03571370989084244, -0.052442993968725204, -0.021701402962207794, 0.027901289984583855, 0.036346469074487686, -5.900559685301232e-08, 0.002803694922477007, 0.034088797867298126, -0.033317580819129944, -0.008558273315429688, 0.048737868666648865, 0.019870486110448837, 0.028709907084703445, 0.03544353321194649, -0.07699736952781677, 0.07218870520591736, 0.004950284492224455, 0.014089498668909073, -0.008020181208848953, 0.08013208210468292, 0.014751051552593708, 0.02947177365422249, 0.05268878489732742, -0.06240825355052948, -0.05134345591068268, 0.03462217003107071, 0.06616329401731491, 0.013715683482587337, 0.03550209850072861, -0.033811189234256744, 0.016173211857676506, 0.058240216225385666, 0.017985137179493904, -0.015940438956022263, 0.003769048023968935, -0.041797880083322525, -0.02243756875395775, 0.04692552983760834, -0.05458904057741165, -0.0010247727623209357, -0.006426943000406027, -0.030699454247951508, 0.002406611805781722, 0.0022404962219297886, 0.015488947741687298, 0.03022371046245098, -0.017798002809286118, 0.026770588010549545, 0.0007689812919124961, 0.04492723569273949, 0.00684351148083806, -0.04061293601989746, 0.005322352051734924, 0.029478885233402252, -0.014146113768219948, 0.0938342735171318, 0.01567099615931511, -0.006852190010249615, 0.02622944861650467, -0.045455846935510635, 0.018224600702524185, 0.03363232687115669, -0.041432254016399384, 0.03063216619193554, -0.09937114268541336, 0.013883685693144798, 0.06900639832019806, -0.025368042290210724, -0.032723721116781235, 0.0023142534773796797]"
"Thinking, Fast and Slow","['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Philosophy', 'Audiobook', '...more']","[0.011774116195738316, -0.01793689653277397, -0.013793110847473145, 0.01565631292760372, 0.016009114682674408, 0.00973611231893301, 0.03882022202014923, 0.05145755782723427, 0.04829428344964981, 0.029816851019859314, -0.025463763624429703, 0.052474766969680786, 0.009891679510474205, -0.028333619236946106, -0.028670959174633026, -0.0304469782859087, 0.00776637950912118, -0.02755054645240307, -0.02484535053372383, 0.0018104303162544966, -0.04724511504173279, -0.01445998065173626, 0.023457953706383705, -0.01628389023244381, -0.061412181705236435, 0.007586230523884296, -0.018623361364006996, -0.06754570454359055, -0.05401020497083664, -0.03159457817673683, 0.024435298517346382, 0.03796551376581192, 0.0005690509569831192, -0.03504462540149689, -0.015968244522809982, 0.021080851554870605, 0.03681487590074539, 0.046256013214588165, 0.030463673174381256, 0.0076149324886500835, -0.017690932378172874, -0.04159614443778992, -0.01083808857947588, 0.0025460587348788977, 0.012652146629989147, -0.013924135826528072, -0.0015945674385875463, -0.024334555491805077, -0.02471509762108326, -0.057095639407634735, -0.12201613187789917, 0.0178504828363657, -0.010283239185810089, -0.03339370712637901, 0.038045722991228104, 0.05202110856771469, 0.010071277618408203, 0.05596892163157463, -0.040744904428720474, -0.03056531772017479, -0.006841131020337343, -0.07318270206451416, -0.021166915073990822, -0.009656183421611786, 0.04434068128466606, 0.036648333072662354, -0.003645486431196332, 0.01334110926836729, -0.04749187082052231, 0.037789881229400635, 0.009893810376524925, 0.01764809340238571, 0.017924433574080467, -0.005683103110641241, 0.04978717491030693, -0.052834928035736084, -0.014952121302485466, -0.03160833939909935, 0.038580507040023804, -0.026905208826065063, 0.002078728750348091, 0.015168540179729462, 0.008905094116926193, -0.009734055027365685, -0.019988253712654114, -0.022849781438708305, 0.018667379394173622, -0.015077526681125164, 0.01648588664829731, 0.013588384725153446, 0.021881265565752983, -0.07334694266319275, 0.009225254878401756, -0.006198256276547909, 0.0530351884663105, 0.07353942841291428, -0.0332961268723011, -0.0010275095701217651, -0.029467247426509857, 0.021912824362516403, 0.025011137127876282, 0.035352542996406555, -0.02441716380417347, -0.026484256610274315, 0.02320668287575245, -0.06571698933839798, 0.02357693575322628, 0.026155812665820122, -0.014307624660432339, -0.005096162669360638, -0.0464862659573555, -0.0037006260827183723, 0.0051156310364604, 0.03804334998130798, 0.02022605948150158, 0.005719704553484917, 0.04446576163172722, 0.022633634507656097, 0.04806630685925484, 0.04786352068185806, 0.029262404888868332, 0.03358616679906845, 0.009618883952498436, 0.03884579613804817, 0.022534852847456932, -0.03734026476740837, 0.01308347750455141, 1.8913896959272538e-33, -0.02341400645673275, -0.019340477883815765, 0.02629047818481922, 0.03547293320298195, -0.021616633981466293, -0.011073699221014977, -0.024589870125055313, -0.04396533966064453, 0.011791621334850788, 0.043332889676094055, -0.01029418408870697, 0.043676670640707016, 0.004030162002891302, 0.06644982844591141, -0.015905383974313736, 0.005962148774415255, -0.11621993780136108, -0.023726273328065872, 0.007511483039706945, -0.01431950367987156, 0.03738545626401901, 0.022969547659158707, -0.0045220921747386456, -0.07086966931819916, 0.013173785991966724, -0.006805710960179567, 0.0032839905470609665, -0.0146261565387249, 0.006139953155070543, 0.017434710636734962, -0.07443956285715103, 0.050376780331134796, -0.07876262813806534, -0.03387244790792465, -0.033502887934446335, -0.016067126765847206, -0.0303787961602211, -0.007265198044478893, 0.028601041063666344, -0.021412543952465057, -0.061917778104543686, 0.02742311730980873, -0.008551311679184437, 0.001450708252377808, -0.013990387320518494, 0.0731884017586708, 0.023255320265889168, -0.023631757125258446, -0.041465915739536285, 0.01577152870595455, -0.026116028428077698, 0.005390698090195656, 0.049184650182724, -0.01966872252523899, -0.039430588483810425, 0.01585555262863636, 0.013009285554289818, -0.009148888289928436, -0.014690354466438293, -0.00274221645668149, 0.041845910251140594, 0.02377660758793354, -0.022302379831671715, -0.0026457023341208696, 0.02095884457230568, 0.04086451977491379, -0.09716189652681351, 0.007290325593203306, -0.012484044767916203, -0.022839052602648735, -0.025063922628760338, 0.014167534187436104, 0.023746484890580177, -0.06349452584981918, -0.004059060011059046, -0.03083163872361183, 0.006111491937190294, -0.0011738026514649391, -0.04707227274775505, -0.048043932765722275, 0.020181819796562195, -0.02413845993578434, -0.00579883111640811, -0.032473038882017136, -0.01650160178542137, 0.02440895326435566, 0.03449734300374985, -0.04419510066509247, -0.007568256463855505, 0.02145811915397644, 0.005169479642063379, -0.015656983479857445, 0.01672060787677765, -0.004737331531941891, -0.06872186809778214, -3.732327909001184e-33, -0.03128870576620102, -0.08493820577859879, 0.023035185411572456, 0.04347261041402817, 0.03576779365539551, 0.0059498571790754795, -0.07226227968931198, -0.00805982667952776, -0.0042511820793151855, -0.04092476889491081, -0.056443098932504654, 0.013224834576249123, 0.032596394419670105, 0.0647745281457901, 0.005084484815597534, -0.08722440898418427, 0.005158268380910158, -0.040024466812610626, -0.01192939281463623, -0.030065733939409256, 0.03485998138785362, 0.05385071039199829, -0.0835624635219574, -0.02706865407526493, 0.004856532905250788, 0.04467286169528961, 0.003067881101742387, -0.007556242868304253, -0.047372110188007355, 0.003532384755089879, -0.041270021349191666, 0.013362023048102856, 0.010123062878847122, -0.023095546290278435, 0.013357101939618587, 0.045146021991968155, -0.005275370087474585, -0.01286343950778246, -0.03527631610631943, -0.011170804500579834, -0.017589623108506203, -0.02001270465552807, -0.010206978768110275, -0.07374504953622818, 0.007471710909157991, -8.69506493472727e-06, 0.018270278349518776, 0.010690241120755672, -0.04072171077132225, 0.051089465618133545, 0.046174995601177216, 0.04455646499991417, -0.04288128763437271, -0.005518214777112007, -0.011662130244076252, -0.002453259192407131, 0.008773758076131344, -0.05215933173894882, 0.044473253190517426, 0.06229373440146446, -0.055053453892469406, 0.023854060098528862, -0.015270452946424484, 0.04551010578870773, 0.0035121762193739414, -0.060200802981853485, -0.014367055147886276, -0.02786443755030632, 0.06688802689313889, -0.014961977489292622, -0.06245814636349678, -0.02076270617544651, -0.02347886562347412, -0.018964527174830437, 0.05799992382526398, 0.055935535579919815, -0.027309600263834, 0.0296461321413517, -0.036553751677274704, -0.00812042597681284, 0.013479850254952908, -0.04702811688184738, 0.028125258162617683, 0.02096140757203102, -0.03367525711655617, 0.04943672567605972, -0.007366753648966551, -0.015081418678164482, -0.013067438267171383, -0.007225723471492529, -0.018573150038719177, 0.004291245248168707, -0.004333642777055502, 0.0547991581261158, -0.03090127371251583, -5.954959547693761e-08, 0.02549637481570244, -0.03846065700054169, 0.013140196911990643, 0.04176877811551094, 0.0077964868396520615, 0.027541685849428177, -0.005568031687289476, 0.020804492756724358, -0.08941422402858734, 0.05330374836921692, 0.04178799316287041, 0.024438155815005302, -0.0008622080786153674, 0.042842183262109756, 0.010440483689308167, 0.011974571272730827, 0.06221228092908859, -0.02557435818016529, -0.030280686914920807, 0.01221446879208088, 0.10801708698272705, 0.008295741863548756, -0.007595642935484648, -0.0503564216196537, -0.004679480101913214, 0.04043668136000633, -0.009812736883759499, 0.016977280378341675, -0.03245158493518829, 0.006581808906048536, 0.0028870583046227694, 0.060512494295835495, -0.032614048570394516, 0.020760709419846535, 0.03095347061753273, -0.03433852642774582, 0.021076031029224396, 0.04481329396367073, -0.004232861567288637, 0.020751142874360085, -0.00418804632499814, 0.035180747509002686, 0.037585724145174026, 0.044164251536130905, 0.01878540590405464, -0.03786734119057655, -0.025744933634996414, 0.0177749115973711, 0.03480445593595505, 0.030935097485780716, 0.040271010249853134, 0.031594060361385345, 0.03802138939499855, 0.004448867402970791, 0.022198455408215523, 0.032848797738552094, 0.006823452655225992, 0.012519094161689281, -0.10316222161054611, 0.03576357290148735, 0.08780650049448013, 0.03389481082558632, -0.06116385757923126, 0.012831212021410465]"
Quiet: The Power of Introverts in a World That Can't Stop Talking,"['Nonfiction', 'Psychology', 'Self Help', 'Audiobook', 'Business', 'Personal Development', 'Sociology', '...more']","[-0.028620585799217224, -0.060751207172870636, 0.024134187027812004, 0.07923267781734467, 0.039365775883197784, -0.055353641510009766, 0.06354577094316483, 0.019754979759454727, -0.01964588463306427, -0.02115555666387081, 0.014288932085037231, 0.013591927476227283, -0.006219324190169573, -0.09294824302196503, 0.011294225230813026, 0.03547855094075203, 0.01843360625207424, -0.021565716713666916, 0.008546029217541218, 0.04374070093035698, -0.06357769668102264, 0.019279522821307182, 0.04678361490368843, -0.024235708639025688, -0.04122008755803108, -0.016882505267858505, -0.032980430871248245, -0.019945776090025902, -0.006014448590576649, 0.007643785327672958, 0.012769205495715141, 0.03321706876158714, 0.09299459308385849, 0.014196865260601044, -0.01326045859605074, 0.0032097846269607544, 0.07580842822790146, 0.0962749719619751, 0.06156932935118675, 0.007815086282789707, -0.01663009263575077, -0.013126717880368233, 0.035032108426094055, -0.04011647030711174, -0.058251600712537766, -0.08267001062631607, 0.003599856747314334, -0.023678544908761978, -0.012075374834239483, -0.07392589747905731, -0.02764591947197914, -0.0034456183202564716, -0.010539173148572445, -0.018051762133836746, 0.04534216970205307, 0.058347828686237335, 0.0014725403161719441, 0.03884560242295265, -0.0028498226311057806, 0.040344513952732086, 0.03324141353368759, -0.05273503065109253, -0.026138095185160637, -0.009724765084683895, 0.06030074879527092, 0.06971964985132217, -0.0010712324874475598, 0.028324352577328682, -0.03824442997574806, -0.0049458579160273075, -0.036957670003175735, -0.0028030278626829386, 0.03200302645564079, 0.005586206912994385, 0.024924324825406075, 0.017218753695487976, -0.013101058080792427, -0.06845779716968536, 0.02484307996928692, 0.051915161311626434, 0.011997567489743233, 0.008078302256762981, -0.007024580147117376, -0.016198638826608658, -0.07280495017766953, -0.076297327876091, -0.0023141982965171337, -0.0368548147380352, -0.0032070863526314497, 0.060176458209753036, -0.06276823580265045, -0.005868853535503149, -0.009533529169857502, -0.010450162924826145, 0.07681863754987717, 0.03736967593431473, -0.040082551538944244, 0.008091486059129238, -0.024064872413873672, 0.029465317726135254, -0.02706698141992092, 0.09547938406467438, 0.016708949580788612, -0.011548573151230812, -0.016914067789912224, -0.07688070833683014, -0.004676640499383211, 0.01722891815006733, -0.02611595392227173, -0.0076065668836236, -0.03243643790483475, -0.04144689068198204, -0.008711335249245167, -0.04868011549115181, 0.07850046455860138, -0.008429096080362797, 0.04352995380759239, 0.01280582882463932, 0.0657665953040123, 0.0460403747856617, 0.022907476872205734, 0.08491890877485275, 0.04329266399145126, 0.05338091403245926, 0.022856594994664192, -0.024202032014727592, -0.013261214829981327, 3.213060993707116e-33, -0.01141182892024517, 0.056897785514593124, -0.026148468255996704, 0.07341586798429489, 0.003590768901631236, 0.02551569603383541, 0.0007007778040133417, -0.05078991875052452, -0.002213520696386695, 0.05686778575181961, 0.009383761323988438, 0.036003436893224716, -0.002125214086845517, 0.027562281116843224, -0.01755310595035553, 0.037564508616924286, -0.07471103221178055, -0.007728975731879473, -0.027863264083862305, 0.005384247750043869, 0.05241352692246437, 0.00446392921730876, -0.042208392173051834, -0.05103972554206848, -0.013062133453786373, -0.04643988236784935, 0.0002768302510958165, -0.018904751166701317, 0.03888067230582237, -0.0031271283514797688, -0.014015617780387402, 0.04129232093691826, -0.02661861479282379, -0.03307997062802315, 0.021013865247368813, -0.03453654423356056, 0.009531499817967415, -0.0338156521320343, 0.039895299822092056, -0.03720233216881752, -0.07044419646263123, 0.03837805986404419, -0.00399832334369421, 0.007296612020581961, -0.001539799734018743, 0.0836658850312233, 0.02902982570230961, -0.0265703946352005, -0.033298082649707794, 0.03293340653181076, -0.050952840596437454, 0.03134236857295036, 0.02091890387237072, 0.00597600219771266, -0.036370571702718735, -0.028843095526099205, -0.0026095695793628693, -0.013167248107492924, 0.021141456440091133, -0.021801691502332687, 0.03380366787314415, 0.03122570924460888, -0.00897222850471735, -0.07769794762134552, 0.009047552943229675, 0.010255344212055206, -0.07279513776302338, -0.05062003806233406, -0.019544275477528572, -0.005468884017318487, -0.01102358940988779, 0.023627791553735733, -0.043775737285614014, -0.007553613744676113, 0.0108950799331069, -0.02296636439859867, 0.02465798333287239, -0.03461972251534462, -0.023275451734662056, -0.06024308130145073, -0.011751063168048859, 0.02037244662642479, -0.03551686927676201, -0.005787476431578398, -0.04609975963830948, 0.006758492905646563, 0.018888922408223152, -0.012609743513166904, 0.02709862031042576, 0.04227883368730545, 0.05764159560203552, -0.014957921579480171, -0.014624339528381824, -0.03022352047264576, -0.06614535301923752, -3.8516883400676486e-33, 0.053995102643966675, -0.03141169250011444, -0.031035417690873146, -0.06648854911327362, 0.0022993329912424088, 0.015083661302924156, -0.05415021628141403, 0.04384664073586464, -0.006908805575221777, -0.03928934782743454, -0.058219607919454575, 0.024687599390745163, 0.11564695835113525, 0.009912264533340931, -0.0190290454775095, -0.07497132569551468, 0.020184913650155067, 0.012986728921532631, -0.0313352532684803, -0.05626931041479111, 0.016670703887939453, 0.07909722626209259, -0.0017960284603759646, -0.03847953677177429, 0.05943134427070618, 0.008666010573506355, -0.0012854255037382245, 0.038480620831251144, -0.029862133786082268, -0.010019360110163689, -0.0019096721662208438, 0.09125376492738724, 0.05657965689897537, -0.008340251632034779, -0.006551832426339388, 0.060948409140110016, -0.07738415896892548, -0.03641442209482193, -0.026011744514107704, -0.04941338300704956, -0.03657185286283493, 0.0031784200109541416, -0.03721938282251358, -0.06979052722454071, -0.020211080089211464, 0.011011595837771893, 0.05262985825538635, -0.004555536899715662, -0.04467138648033142, 0.008090412244200706, -0.02050372026860714, 0.03352731838822365, 0.023763079196214676, 0.008048460818827152, 0.005934422370046377, -0.014160901308059692, 0.050899095833301544, 0.004653167445212603, -0.0053098080679774284, 0.03705139085650444, -0.053349997848272324, 0.011755376122891903, 0.0111955925822258, -0.006428880151361227, -0.007634826470166445, -0.07036832720041275, -0.009679283015429974, -0.00036082457518205047, 0.06774067878723145, -0.025903824716806412, -0.05215621739625931, -0.027938542887568474, -0.02257995866239071, -0.03169019892811775, 0.004476004280149937, 0.044953253120183945, -0.02307809516787529, -0.0451430007815361, -0.046463847160339355, -0.040519829839468, -0.06842342764139175, -0.007668084930628538, 0.00463305925950408, 0.03144140914082527, 0.0013236998347565532, 0.0634060725569725, -0.015901202335953712, 0.022012708708643913, -0.0345609076321125, 0.03465303033590317, -0.017972800880670547, -0.024209139868617058, -0.02305418811738491, -0.006837735418230295, 0.014439545571804047, -5.820492532393473e-08, -0.032582350075244904, -0.037398822605609894, 0.014332483522593975, 0.04745486006140709, 0.03956344723701477, 0.06593849509954453, -0.00676761893555522, -0.056439727544784546, -0.05496038869023323, 0.045900847762823105, -0.01952597312629223, -0.011427747085690498, 0.03256424888968468, 0.03309032320976257, 0.009507013484835625, -0.013548304326832294, 0.08144749701023102, -0.016108179464936256, -0.03482630476355553, 0.022481190040707588, 0.05740823596715927, -0.04221179708838463, -0.03649521991610527, -0.012545859441161156, -0.007386110257357359, 0.02582077495753765, -0.01575334370136261, -0.050706978887319565, -0.02095499262213707, 0.027375103905797005, -0.016229381784796715, 0.08658462017774582, -0.014714466407895088, -0.030369732528924942, -0.05769238620996475, 0.01648939587175846, 0.015031663700938225, 0.023877771571278572, -0.04200621321797371, 0.07558630406856537, 0.0036091108340770006, -0.03950471431016922, 0.021282166242599487, 0.012672938406467438, -0.06250541657209396, -0.0021582224871963263, 0.010720154270529747, -0.00898647215217352, 0.005795985925942659, 0.023313801735639572, 0.09017809480428696, -0.024132665246725082, 0.07778514176607132, 0.024565767496824265, 0.0039937859401106834, 0.02346707507967949, -0.03948885574936867, 0.14119262993335724, -0.04027528315782547, 0.0609743706882, 0.03875180333852768, 0.058859534561634064, -0.07863600552082062, -0.022747276350855827]"
