tsne_dimension,perplexity,k,silhouette_score
2,6.0,10,0.39831534
2,6.25,10,0.398222
2,1.0,8,0.39609793
2,9.0,5,0.39596766
2,9.5,9,0.39498845
2,7.75,8,0.394248
2,6.0,5,0.39398336
2,4.75,6,0.39342606
2,3.0,5,0.392928
2,9.75,9,0.3927641
2,2.0,5,0.39262724
2,4.5,6,0.3922096
2,7.5,10,0.39144596
2,10.0,8,0.3913749
2,5.0,5,0.39129496
2,9.0,9,0.3905444
2,9.25,10,0.39035746
2,2.25,5,0.39020804
2,10.0,7,0.3900891
2,6.75,9,0.389369
2,8.5,10,0.38921735
2,8.5,7,0.3881861
2,8.75,6,0.3878662
2,5.0,6,0.3878004
2,7.0,5,0.3877992
2,10.25,9,0.38727397
2,5.75,6,0.3869964
2,5.5,5,0.38683215
2,9.0,6,0.38679048
2,5.5,6,0.38620627
2,10.25,10,0.38501322
2,6.25,9,0.3847477
2,7.25,8,0.38271296
2,6.5,9,0.38225007
2,9.0,7,0.38189146
2,4.75,5,0.38157704
2,7.5,9,0.38011566
2,5.25,5,0.3799957
2,4.75,8,0.37977973
2,8.0,5,0.37920344
2,9.75,10,0.37897465
2,0.75,9,0.37755138
2,6.5,5,0.37666395
3,1.25,10,0.37611
2,6.25,5,0.37537163
2,7.25,6,0.37511972
2,8.25,10,0.37509063
2,5.75,7,0.37470934
2,8.75,5,0.37469873
2,7.25,5,0.37445697
2,7.0,6,0.3741941
2,6.75,7,0.3738653
2,0.75,10,0.37365592
2,9.75,8,0.37363246
2,8.75,7,0.37334096
2,7.5,7,0.37305686
2,6.5,10,0.37223345
2,5.5,7,0.37211493
2,3.75,5,0.37209848
2,0.75,8,0.371986
2,7.25,7,0.3716179
2,6.0,8,0.3715001
2,9.0,10,0.37125248
2,6.5,8,0.3710556
2,10.25,7,0.37101188
2,9.5,6,0.370754
2,6.25,8,0.36974016
2,3.75,6,0.3691402
2,8.75,9,0.36887857
2,7.75,7,0.36886477
2,8.75,10,0.3681768
2,6.5,7,0.36714134
2,8.5,9,0.36655438
2,4.25,7,0.36628342
2,8.25,9,0.36597314
2,4.75,7,0.36581016
2,9.5,5,0.36569718
2,7.5,5,0.36546627
2,8.5,8,0.36507124
2,1.75,6,0.36446014
2,9.25,9,0.36435446
2,10.25,5,0.36307067
2,8.75,8,0.36239082
2,9.75,7,0.36225367
2,6.25,7,0.36215094
2,10.25,8,0.3615181
2,8.25,7,0.36142755
2,5.75,5,0.36111242
2,6.5,6,0.3610069
2,6.75,8,0.3605044
2,7.5,8,0.36048496
2,10.0,5,0.3602965
2,6.0,9,0.3601766
3,2.5,10,0.35812178
2,4.25,6,0.35803062
2,10.25,6,0.35801986
2,8.25,5,0.35748893
2,9.25,8,0.35707274
3,2.5,9,0.3560599
2,6.25,6,0.35594797
2,0.5,7,0.35519913
2,9.5,8,0.35511407
2,9.75,5,0.35499635
2,7.75,5,0.35488415
2,10.0,6,0.3544748
2,9.25,5,0.35421908
2,8.0,6,0.35417047
2,9.25,7,0.35366574
2,9.75,6,0.35356754
2,7.25,10,0.35230145
3,2.5,7,0.35160547
3,1.25,9,0.3512994
2,8.25,8,0.34999964
2,8.25,6,0.3490737
3,1.25,8,0.3487845
2,8.0,8,0.34796828
2,0.5,9,0.34762228
2,0.75,7,0.3474322
2,0.5,10,0.34622768
3,3.0,9,0.3458774
2,7.5,6,0.34581083
2,8.0,10,0.34501842
2,8.0,7,0.34407717
3,3.0,10,0.3440497
2,7.0,7,0.3402351
2,0.5,8,0.34007618
2,8.5,6,0.3378857
2,6.75,6,0.33700946
2,7.75,6,0.3368513
2,9.25,6,0.33683303
2,7.25,9,0.33655968
3,2.5,8,0.3355662
2,0.75,6,0.33549896
3,2.0,10,0.3324478
2,6.75,5,0.33148736
3,3.0,8,0.32867193
2,8.5,5,0.32710677
2,9.0,8,0.32483137
2,0.5,6,0.32377666
2,8.0,9,0.32303837
2,9.5,7,0.31254062
3,2.0,7,0.31234592
3,1.0,10,0.3103608
3,2.75,9,0.3075596
3,1.25,5,0.30479008
3,1.25,7,0.30271363
3,3.5,8,0.3026406
2,0.75,5,0.30190063
3,2.5,6,0.30057523
3,3.0,7,0.29649067
3,3.25,7,0.29562974
3,3.0,6,0.29502952
3,2.25,10,0.29258192
3,3.5,9,0.29039896
3,1.0,7,0.28978094
3,2.25,6,0.2897746
2,0.5,5,0.28943887
3,1.5,8,0.28703228
3,3.25,8,0.2853927
3,2.75,10,0.28502217
3,1.0,5,0.28405225
3,1.0,9,0.28338167
3,1.5,10,0.280373
3,3.0,5,0.27947718
3,2.0,6,0.27944878
3,4.75,10,0.27901384
3,1.25,6,0.27823097
3,2.75,8,0.27758008
3,4.75,9,0.27585533
3,1.5,7,0.27433273
3,2.25,5,0.2740186
3,2.75,6,0.27379367
3,4.0,5,0.2717142
3,1.0,8,0.27106407
3,3.25,9,0.27099776
3,3.5,10,0.27023667
3,2.75,7,0.26734138
3,2.0,5,0.26711264
3,3.75,5,0.2662531
3,4.75,5,0.26624867
3,2.5,5,0.26620302
3,2.25,7,0.2656187
3,4.25,10,0.26551977
3,4.75,8,0.26540568
3,6.75,5,0.2650805
3,4.25,5,0.26422957
3,3.25,10,0.2641454
3,6.0,9,0.26409483
3,6.0,5,0.26377326
3,3.5,6,0.2635772
3,1.75,10,0.26289648
3,6.0,8,0.2628415
3,2.75,5,0.26191154
3,8.5,6,0.2610285
3,1.0,6,0.2603301
3,3.25,6,0.25940627
3,2.0,8,0.25927427
3,6.0,6,0.25809753
3,5.25,5,0.25793058
3,6.0,7,0.25667462
3,3.25,5,0.25667208
3,4.75,7,0.25636235
3,5.25,6,0.25582975
3,3.5,7,0.2557913
3,1.75,7,0.25465855
3,1.5,9,0.2543994
3,1.75,8,0.25307456
3,2.25,9,0.25307143
3,4.25,9,0.25307107
3,1.75,6,0.25132692
3,7.5,9,0.2504572
3,8.75,8,0.2503768
3,2.0,9,0.25029838
3,4.75,6,0.24942291
3,9.75,8,0.24893841
3,5.25,7,0.24878237
3,5.0,5,0.24818136
3,4.5,10,0.24788955
3,8.75,9,0.24787046
