umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
5,2,0.12,10,0.6438185
2,3,0.02,10,0.64333814
3,2,0.06,8,0.64259857
6,2,0.08,7,0.6423529
2,2,0.02,8,0.64217347
4,2,0.12,8,0.6418581
9,2,0.04,8,0.64152896
5,2,0.13,9,0.641514
3,2,0.02,10,0.64130044
6,2,0.11,9,0.6411627
8,2,0.14,9,0.6404126
4,2,0.06,8,0.64013463
2,2,0.14,6,0.639835
7,2,0.06,8,0.63955086
9,2,0.14,10,0.63943875
2,3,0.03,9,0.6393464
10,2,0.09,8,0.6376269
2,2,0.03,8,0.63740903
2,2,0.04,7,0.63506824
5,2,0.09,9,0.63487273
3,2,0.14,8,0.6347657
2,3,0.04,9,0.6344062
2,2,0.03,7,0.6342281
6,3,0.03,8,0.6336464
9,2,0.05,9,0.6332096
10,2,0.1,9,0.63242716
2,2,0.14,9,0.6320112
4,2,0.03,7,0.63130915
6,2,0.14,8,0.631117
3,2,0.12,7,0.6310092
4,2,0.05,8,0.63060987
5,2,0.03,8,0.6304989
2,2,0.02,7,0.6301924
9,2,0.09,8,0.6294946
7,2,0.11,9,0.62948895
7,2,0.02,8,0.629303
9,2,0.13,10,0.62891024
4,2,0.11,8,0.6281452
3,2,0.09,7,0.6280639
5,2,0.1,8,0.62743104
9,2,0.03,9,0.62688184
4,2,0.13,8,0.62661916
3,2,0.04,8,0.6265207
4,2,0.14,8,0.6265187
5,2,0.05,9,0.62633705
3,2,0.05,9,0.626215
8,2,0.04,8,0.6261434
2,3,0.03,10,0.625982
5,2,0.07,8,0.6256937
8,2,0.05,8,0.62478936
5,2,0.08,8,0.62451565
8,2,0.03,8,0.6244221
6,2,0.05,8,0.6242649
2,2,0.05,7,0.6240707
2,2,0.07,7,0.6237128
5,2,0.14,8,0.62358475
10,2,0.15,8,0.6235189
5,2,0.04,8,0.622023
8,2,0.08,8,0.6220063
7,2,0.1,9,0.6215825
8,2,0.1,8,0.62154174
2,3,0.02,9,0.62086743
3,2,0.15,7,0.62048036
6,2,0.1,8,0.620364
10,2,0.06,7,0.6202785
4,2,0.09,8,0.6199994
6,2,0.03,8,0.6194148
4,2,0.07,8,0.61915505
3,2,0.07,8,0.6190086
8,2,0.07,7,0.6189273
2,2,0.07,6,0.6187164
2,3,0.04,7,0.618382
4,2,0.15,9,0.61775714
10,2,0.05,9,0.6175117
2,2,0.14,8,0.6172183
6,2,0.02,8,0.61708707
2,2,0.09,6,0.61683965
3,2,0.02,9,0.61586815
8,2,0.06,9,0.6157816
4,2,0.1,7,0.6156942
3,2,0.02,7,0.61562234
2,3,0.04,8,0.61553377
8,2,0.15,7,0.6148619
6,2,0.06,8,0.6147187
7,3,0.05,10,0.61457676
4,2,0.02,9,0.61455464
6,2,0.13,9,0.61444455
5,2,0.15,9,0.6142537
8,2,0.12,8,0.61335653
6,2,0.09,9,0.6123759
10,2,0.14,7,0.6120651
2,3,0.04,10,0.61185026
5,3,0.07,10,0.61183447
6,3,0.05,8,0.6116214
2,3,0.02,7,0.6113926
10,2,0.08,8,0.6109274
7,2,0.08,9,0.6109121
8,2,0.11,8,0.61075634
4,2,0.1,6,0.61060476
5,2,0.13,8,0.61050355
6,3,0.03,9,0.61044914
6,3,0.03,10,0.61024886
9,2,0.14,9,0.61012775
2,3,0.05,10,0.60969704
3,2,0.08,6,0.60864234
5,2,0.05,8,0.60812104
4,2,0.07,7,0.6079052
9,2,0.1,9,0.6077852
10,2,0.13,8,0.6077682
3,2,0.03,6,0.6075839
6,3,0.04,9,0.60704
5,3,0.07,9,0.6065097
2,3,0.1,8,0.6062198
5,3,0.03,8,0.60572684
4,2,0.04,9,0.60529727
2,3,0.05,8,0.6051518
6,3,0.03,7,0.6051066
2,3,0.1,7,0.6048639
7,2,0.04,8,0.60476035
2,2,0.08,7,0.60469484
7,2,0.12,8,0.6046037
6,3,0.02,10,0.6043665
5,2,0.11,8,0.6042101
10,2,0.02,8,0.60381234
5,3,0.05,8,0.60373193
9,2,0.04,7,0.60311985
3,2,0.05,8,0.60282314
10,2,0.12,7,0.6021863
9,2,0.15,8,0.60212404
5,3,0.03,9,0.60187954
9,2,0.07,7,0.60137457
8,2,0.02,9,0.6010761
5,3,0.05,10,0.6008397
5,3,0.05,9,0.60080606
8,2,0.12,7,0.60055655
5,2,0.02,7,0.5998605
2,3,0.08,7,0.5998182
3,2,0.07,7,0.5997122
7,3,0.02,9,0.59941876
6,3,0.06,9,0.5987644
9,2,0.12,9,0.59856904
4,2,0.03,6,0.59828573
6,2,0.15,8,0.59823835
7,2,0.06,7,0.5981851
10,3,0.03,10,0.59813476
3,2,0.09,6,0.59797627
7,2,0.11,8,0.59790975
3,2,0.06,6,0.597405
8,3,0.02,10,0.597355
5,3,0.02,9,0.59712374
2,3,0.06,8,0.59704846
10,3,0.03,7,0.5970217
7,2,0.14,8,0.5964039
6,3,0.04,10,0.5963725
2,2,0.06,7,0.5962535
3,2,0.14,7,0.59575236
5,3,0.04,10,0.5946917
4,3,0.02,7,0.5946367
9,2,0.06,9,0.5945378
9,3,0.04,5,0.59452516
10,3,0.06,10,0.593643
2,3,0.12,9,0.5935353
5,3,0.02,8,0.59347236
2,2,0.09,5,0.59307563
2,2,0.1,5,0.5926569
2,2,0.12,6,0.5925792
6,2,0.04,7,0.5923819
5,3,0.02,7,0.5920679
2,2,0.14,5,0.5918322
6,3,0.02,9,0.5910373
10,3,0.02,10,0.5910281
2,3,0.05,7,0.59084076
10,2,0.07,8,0.5907725
5,3,0.02,10,0.59075093
9,2,0.05,8,0.5907376
4,2,0.15,8,0.5906986
6,3,0.06,8,0.5906019
10,2,0.1,8,0.59039086
6,2,0.12,8,0.5902346
5,3,0.1,8,0.5898676
2,3,0.07,8,0.58956474
7,2,0.09,8,0.58950514
3,2,0.1,7,0.58932436
5,3,0.05,7,0.5888033
6,3,0.05,10,0.5886927
6,3,0.07,8,0.5876571
3,2,0.12,6,0.5871688
8,3,0.02,9,0.586681
7,2,0.03,8,0.5866631
4,2,0.08,7,0.5864084
9,2,0.02,9,0.5862049
2,2,0.06,5,0.58608633
4,2,0.05,7,0.5860332
3,2,0.05,7,0.5860128
6,2,0.11,8,0.58588886
10,3,0.05,7,0.58584714
7,2,0.15,6,0.58575696
7,3,0.05,9,0.585625
10,3,0.03,8,0.5855525
2,3,0.12,10,0.5855346
2,3,0.03,7,0.58532435
5,3,0.03,10,0.5852908
10,3,0.03,9,0.5852382
8,3,0.07,9,0.58508897
5,2,0.1,7,0.5848637
5,2,0.11,7,0.58480173
3,3,0.06,9,0.58477145
10,2,0.09,7,0.58460367
4,3,0.03,7,0.58436674
6,2,0.13,8,0.5843471
2,2,0.11,6,0.5842809
5,3,0.03,7,0.58426285
4,2,0.06,7,0.5842624
6,3,0.07,9,0.583274
10,2,0.05,8,0.58298403
7,3,0.1,10,0.58298224
10,2,0.03,7,0.5828577
9,2,0.11,9,0.58276325
3,3,0.04,10,0.5826641
2,2,0.13,6,0.5826238
7,3,0.04,10,0.5824996
2,3,0.08,9,0.58239394
3,2,0.02,8,0.5822289
4,3,0.05,9,0.58190805
7,3,0.04,9,0.58155423
9,2,0.13,9,0.58151436
9,2,0.07,8,0.581434
8,2,0.14,8,0.5812887
8,2,0.09,7,0.5812884
8,3,0.04,9,0.58014387
8,3,0.06,9,0.5799452
2,3,0.06,7,0.57970834
7,3,0.02,8,0.5793694
6,3,0.05,9,0.57929605
4,3,0.06,7,0.57852674
4,2,0.02,8,0.5781394
8,2,0.02,8,0.57792753
6,2,0.08,6,0.57776606
2,3,0.05,9,0.5774761
5,2,0.04,7,0.5770682
7,3,0.02,10,0.5768719
4,3,0.06,9,0.5767659
10,3,0.11,9,0.5766443
7,2,0.02,7,0.5766385
6,2,0.12,7,0.57654047
5,3,0.09,8,0.576408
6,3,0.08,8,0.5762911
2,2,0.08,6,0.5762687
9,2,0.07,6,0.576168
9,2,0.09,7,0.5757588
2,3,0.07,10,0.57542926
2,2,0.07,5,0.5752502
2,3,0.13,8,0.5750732
8,3,0.05,9,0.5750005
4,3,0.04,7,0.57492995
10,2,0.04,7,0.57491267
2,3,0.08,8,0.5748097
8,2,0.08,7,0.5745738
7,2,0.08,8,0.5743884
7,3,0.04,8,0.574358
9,2,0.08,7,0.57409054
5,2,0.08,5,0.57377315
10,3,0.02,9,0.57373595
10,3,0.02,7,0.57373065
4,3,0.03,10,0.57361746
7,3,0.08,7,0.57316065
10,3,0.12,8,0.57312244
6,3,0.02,7,0.57306796
7,3,0.09,9,0.5730522
7,3,0.05,8,0.57291263
4,2,0.04,8,0.5727289
9,3,0.05,7,0.5725294
3,3,0.04,9,0.5721699
4,2,0.02,7,0.5719352
6,3,0.06,10,0.57175565
3,2,0.02,6,0.57172704
5,2,0.03,7,0.57167464
2,3,0.02,6,0.5715532
10,3,0.07,9,0.5708585
8,2,0.06,8,0.57084095
6,2,0.02,7,0.57081294
9,2,0.14,8,0.570745
4,2,0.09,7,0.5705881
9,3,0.04,7,0.5704003
2,3,0.09,8,0.570242
3,2,0.15,6,0.570178
3,3,0.06,10,0.57014555
2,2,0.03,6,0.57013726
5,3,0.09,6,0.57010335
8,2,0.15,6,0.5699734
5,2,0.05,7,0.56971234
5,2,0.09,8,0.56970733
10,3,0.02,8,0.56918615
6,2,0.1,7,0.56916296
4,2,0.14,7,0.5690794
8,2,0.04,7,0.5689289
10,3,0.15,9,0.5683733
4,2,0.07,6,0.56835026
2,3,0.07,7,0.5683152
10,3,0.05,8,0.56830865
3,3,0.11,7,0.5682044
8,2,0.02,7,0.56820124
4,3,0.06,10,0.56804544
2,3,0.1,9,0.5680318
5,3,0.04,9,0.5678419
9,2,0.1,8,0.56736946
7,2,0.13,9,0.56712747
10,2,0.08,7,0.5669912
9,3,0.04,8,0.5669884
10,2,0.06,6,0.5669225
5,2,0.14,7,0.56685674
3,3,0.02,7,0.5665926
6,3,0.1,8,0.5660684
2,3,0.15,7,0.5658509
9,2,0.02,8,0.56585056
3,3,0.14,8,0.5656703
8,2,0.11,7,0.56551343
7,3,0.12,10,0.5653717
5,3,0.1,7,0.56526995
9,3,0.03,8,0.5645592
5,2,0.06,6,0.5644116
4,2,0.13,7,0.56377196
5,3,0.04,7,0.563422
3,2,0.11,6,0.56337553
10,3,0.04,7,0.56337243
5,2,0.12,9,0.5630893
3,3,0.11,8,0.56284666
6,2,0.07,8,0.56279886
6,3,0.05,7,0.56264406
8,3,0.08,9,0.5623829
6,2,0.05,7,0.56232184
3,2,0.04,7,0.5622863
6,2,0.03,7,0.56211334
7,2,0.04,7,0.5621052
10,2,0.1,7,0.56208175
3,2,0.1,6,0.56208163
9,2,0.03,8,0.5620485
7,2,0.14,7,0.561851
10,3,0.09,9,0.56181717
7,3,0.08,10,0.56179357
10,3,0.06,9,0.5617765
9,3,0.04,6,0.5617428
3,3,0.02,9,0.5617212
4,3,0.06,8,0.5617068
2,2,0.08,5,0.56154186
7,3,0.02,7,0.56152576
7,2,0.07,8,0.56138724
9,2,0.13,8,0.56137705
4,3,0.05,8,0.56127924
8,3,0.06,8,0.5612415
5,2,0.15,8,0.56123495
7,2,0.06,6,0.5612338
2,3,0.06,10,0.5611866
2,3,0.13,7,0.56097984
10,3,0.08,7,0.5607756
5,2,0.06,7,0.5604917
10,2,0.15,7,0.56048876
3,3,0.1,7,0.5604606
3,3,0.1,10,0.56041276
6,3,0.08,9,0.5603707
5,3,0.06,8,0.5603361
2,3,0.1,6,0.5602836
2,3,0.11,8,0.56018704
9,3,0.03,10,0.560008
10,3,0.09,7,0.55988115
10,3,0.06,7,0.55982447
2,3,0.12,7,0.5597188
8,2,0.1,7,0.559703
7,3,0.08,9,0.5595138
8,3,0.08,8,0.559492
7,3,0.07,6,0.5594128
5,3,0.08,7,0.5593551
4,3,0.04,8,0.55928934
9,3,0.05,8,0.55924165
3,3,0.02,8,0.55916256
4,3,0.02,8,0.55901897
4,3,0.11,10,0.55897963
10,3,0.12,9,0.55895793
7,3,0.07,8,0.5585138
6,2,0.08,5,0.5585047
3,3,0.03,9,0.5581567
7,3,0.1,9,0.55813867
5,3,0.09,9,0.5580091
10,3,0.02,6,0.5579588
10,3,0.15,8,0.557932
5,2,0.02,6,0.5577518
2,2,0.11,5,0.5574732
6,3,0.11,10,0.5573722
7,3,0.12,9,0.55711794
10,3,0.1,8,0.5568773
2,3,0.12,8,0.5567067
4,2,0.12,7,0.5566558
10,3,0.05,6,0.556408
2,3,0.05,5,0.5562928
2,4,0.13,10,0.5562107
10,3,0.07,10,0.55614924
9,3,0.07,8,0.55586374
8,3,0.09,8,0.5558188
2,3,0.07,9,0.55569124
2,3,0.15,10,0.5552823
9,2,0.04,6,0.5549867
3,3,0.03,10,0.55493283
7,3,0.08,8,0.5547425
6,3,0.09,7,0.5542385
8,3,0.05,8,0.5541682
8,3,0.14,9,0.5539486
6,3,0.13,8,0.55383766
4,3,0.03,6,0.5535745
6,3,0.06,7,0.55356985
7,3,0.04,7,0.5530166
2,3,0.05,6,0.5529475
10,2,0.12,6,0.5527814
4,3,0.1,10,0.5527421
4,3,0.07,6,0.55271184
7,2,0.11,7,0.55230963
4,3,0.07,7,0.5522687
5,2,0.13,7,0.55222666
9,3,0.04,9,0.5520417
5,3,0.08,9,0.5519245
10,3,0.06,8,0.55189246
9,3,0.08,7,0.5517375
4,4,0.02,9,0.5516995
2,4,0.03,10,0.5515492
4,2,0.03,5,0.5514054
4,2,0.04,7,0.5513407
7,3,0.03,7,0.5512354
5,2,0.09,7,0.5511157
10,3,0.07,8,0.55108535
7,3,0.09,8,0.55105937
8,3,0.12,8,0.55103534
6,2,0.09,8,0.5509519
4,2,0.1,5,0.5507431
3,3,0.06,8,0.5506767
4,3,0.02,10,0.55042684
6,3,0.02,8,0.55042154
5,3,0.07,8,0.5503488
8,3,0.11,8,0.54998314
5,3,0.06,9,0.54986984
4,3,0.09,7,0.5498069
9,2,0.05,7,0.54950625
2,2,0.05,6,0.54943985
4,3,0.05,10,0.54929787
3,3,0.05,9,0.54929066
9,3,0.03,7,0.549282
2,3,0.1,5,0.5492799
9,3,0.08,9,0.54920954
2,3,0.08,10,0.5491412
10,3,0.11,10,0.54911774
8,2,0.03,7,0.5486197
2,2,0.12,5,0.54851633
10,3,0.04,8,0.5483702
4,3,0.14,8,0.5483444
4,3,0.03,9,0.548022
6,3,0.07,7,0.54794574
3,3,0.15,9,0.5477234
8,3,0.05,10,0.5477035
9,3,0.03,6,0.5476676
2,3,0.09,7,0.54739755
3,2,0.07,6,0.5472344
2,3,0.02,5,0.5471225
7,2,0.1,8,0.547024
2,4,0.02,9,0.54696363
3,2,0.09,5,0.5468406
9,2,0.06,8,0.54682565
3,3,0.09,7,0.5467752
10,3,0.09,8,0.54664606
2,3,0.11,7,0.54653907
9,2,0.15,7,0.5462
7,3,0.03,8,0.5461772
8,2,0.12,6,0.54603755
9,3,0.05,6,0.54568934
8,3,0.13,8,0.5456267
8,3,0.14,8,0.54553515
10,3,0.12,7,0.5455314
5,3,0.06,7,0.54534686
4,3,0.14,9,0.5453221
10,3,0.03,6,0.54525214
6,3,0.07,10,0.54519236
3,3,0.15,7,0.5451141
3,3,0.04,8,0.5449438
7,3,0.07,9,0.5448354
10,3,0.13,8,0.5445583
9,3,0.11,10,0.5443153
4,3,0.08,7,0.54429275
3,2,0.02,5,0.54419565
3,3,0.02,10,0.5441653
8,3,0.04,10,0.54394424
5,3,0.02,6,0.54373795
3,2,0.08,5,0.5437208
6,3,0.12,8,0.5436085
9,3,0.04,10,0.54288924
6,3,0.12,10,0.5427437
5,3,0.1,9,0.54266083
8,3,0.07,8,0.54245085
8,2,0.05,7,0.5422463
4,3,0.05,7,0.54210687
4,2,0.08,6,0.54209197
7,3,0.12,8,0.5420274
7,3,0.06,7,0.54202235
4,3,0.07,10,0.54201305
7,3,0.07,7,0.54197174
4,3,0.14,7,0.5418356
2,3,0.1,10,0.5417216
2,3,0.14,5,0.54170704
3,2,0.03,5,0.5416859
3,4,0.05,9,0.5416413
9,2,0.13,7,0.54158396
6,3,0.04,8,0.5415396
10,2,0.11,7,0.5413432
4,2,0.11,7,0.5410231
3,3,0.08,8,0.5408915
8,3,0.02,7,0.5408748
2,4,0.02,10,0.5408554
6,2,0.11,7,0.54075044
7,3,0.12,7,0.54072684
7,3,0.06,8,0.54070973
2,3,0.04,6,0.54067117
9,3,0.15,10,0.5406508
9,3,0.07,9,0.5399002
2,3,0.06,9,0.5398018
8,3,0.06,10,0.539656
6,3,0.1,7,0.53962815
10,2,0.07,7,0.5395854
7,3,0.08,6,0.53949755
3,2,0.15,5,0.5393006
6,3,0.09,10,0.5392207
4,2,0.05,6,0.53917843
3,2,0.1,5,0.53903997
7,3,0.1,8,0.53892285
5,2,0.05,6,0.538909
3,3,0.14,7,0.53851914
8,3,0.1,8,0.5381507
7,2,0.05,7,0.53799635
7,2,0.09,7,0.5379284
6,3,0.13,10,0.5378542
3,2,0.06,7,0.53769433
6,3,0.13,9,0.53737795
10,3,0.08,8,0.53732145
6,3,0.13,7,0.53725505
10,3,0.07,7,0.5372533
6,3,0.12,7,0.5371535
4,3,0.04,9,0.5369941
4,3,0.02,9,0.53696835
3,2,0.14,6,0.53691167
9,3,0.06,8,0.53665125
9,2,0.12,8,0.53662133
4,3,0.02,6,0.5366176
7,2,0.13,8,0.53650266
9,3,0.08,8,0.53641284
5,3,0.11,7,0.5361188
4,3,0.03,8,0.5359044
2,3,0.12,6,0.5358304
5,3,0.13,8,0.5357919
8,3,0.08,7,0.5357454
7,2,0.15,5,0.53536284
3,3,0.12,8,0.535296
6,3,0.11,7,0.5351808
2,3,0.07,6,0.5351604
4,3,0.12,7,0.5351597
7,3,0.09,10,0.53489906
7,2,0.12,7,0.5348601
2,3,0.09,9,0.53452086
3,2,0.05,6,0.5344785
4,3,0.09,9,0.534421
8,2,0.07,6,0.5343949
10,2,0.14,6,0.5343945
6,3,0.09,9,0.5342094
3,3,0.15,10,0.53413403
6,2,0.13,7,0.5339969
3,3,0.08,10,0.53384525
8,3,0.06,7,0.5337946
10,3,0.13,7,0.5337233
3,3,0.11,9,0.53367585
5,3,0.13,7,0.53349537
9,4,0.04,9,0.5333572
5,3,0.05,6,0.5333492
9,2,0.02,7,0.5330348
2,3,0.03,5,0.53282565
2,4,0.03,9,0.53245866
8,3,0.11,7,0.532452
2,2,0.06,6,0.532224
3,3,0.05,8,0.5321412
8,2,0.14,7,0.53211945
4,3,0.09,8,0.5320736
6,3,0.1,9,0.5320495
3,3,0.05,7,0.53204906
9,2,0.11,7,0.5320346
6,3,0.12,9,0.5319647
6,3,0.08,7,0.5319416
3,3,0.12,7,0.53193367
3,3,0.04,7,0.53189236
10,2,0.15,6,0.53186816
6,3,0.13,6,0.5316724
6,3,0.11,6,0.5315496
9,3,0.05,9,0.5314743
4,4,0.05,10,0.5312575
6,3,0.08,10,0.53090596
5,2,0.07,7,0.5309047
9,3,0.08,10,0.53071564
2,3,0.03,6,0.5307146
5,3,0.13,9,0.5306978
