umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
3,2,0.11,10,0.77110404
2,2,0.06,10,0.76670396
4,2,0.08,10,0.7632539
2,2,0.11,10,0.7610113
2,2,0.12,10,0.75799584
2,2,0.09,10,0.7544567
2,2,0.07,10,0.7539208
4,2,0.03,10,0.7537368
3,2,0.08,10,0.7534937
10,2,0.06,10,0.752179
6,2,0.04,10,0.7519293
3,2,0.12,10,0.750796
3,2,0.03,10,0.7504926
3,2,0.07,10,0.74988395
10,2,0.11,10,0.7493554
10,2,0.08,10,0.74805194
2,2,0.07,9,0.74694675
6,2,0.02,10,0.74503046
10,2,0.12,10,0.74305034
3,2,0.09,10,0.7417573
10,2,0.03,10,0.74057287
10,2,0.14,10,0.74037015
9,2,0.08,10,0.73992896
7,2,0.15,10,0.7390764
8,2,0.07,10,0.7389056
2,2,0.1,10,0.73830515
2,2,0.05,9,0.7371052
8,2,0.12,10,0.7366619
9,2,0.07,10,0.73666173
4,2,0.14,10,0.7365189
4,2,0.09,10,0.7360659
4,2,0.06,10,0.73594105
2,2,0.12,9,0.73570913
10,2,0.04,10,0.7356515
4,2,0.11,10,0.73533106
7,2,0.02,10,0.73459905
3,2,0.12,9,0.73397857
8,2,0.15,10,0.73375493
9,2,0.09,10,0.73319435
3,2,0.15,10,0.7321392
7,2,0.06,10,0.7317231
8,2,0.05,10,0.7313662
3,2,0.06,10,0.7312882
2,2,0.08,10,0.7309429
3,2,0.13,10,0.73008436
3,2,0.11,9,0.7296017
2,2,0.05,10,0.72890055
5,2,0.02,10,0.72869265
6,2,0.06,10,0.7285888
2,2,0.13,10,0.7285293
10,2,0.15,10,0.7283158
10,2,0.09,10,0.7280703
10,2,0.12,9,0.7275197
2,2,0.04,10,0.72658646
2,2,0.02,10,0.72653174
4,2,0.08,9,0.7262417
10,2,0.13,10,0.72557706
6,2,0.08,10,0.72528106
6,2,0.03,10,0.72525454
8,2,0.03,10,0.7251293
3,2,0.15,9,0.72484773
7,2,0.14,10,0.7243532
8,2,0.1,10,0.7231679
3,2,0.1,10,0.723059
8,2,0.11,10,0.7229558
6,2,0.05,10,0.72260576
10,2,0.05,10,0.72246915
2,2,0.08,9,0.72225827
4,2,0.1,10,0.7219577
2,2,0.09,9,0.7219285
5,2,0.11,10,0.72166985
7,2,0.15,9,0.72166127
3,2,0.04,10,0.7213671
4,2,0.03,9,0.72131085
7,2,0.04,10,0.721303
9,2,0.04,10,0.7200034
2,2,0.06,9,0.7196925
8,2,0.04,10,0.71855223
4,2,0.05,10,0.7183178
3,2,0.08,9,0.7176383
3,2,0.03,9,0.71745795
6,2,0.04,9,0.71737415
5,2,0.06,10,0.71517813
9,2,0.05,10,0.71491903
10,2,0.07,10,0.7147767
4,2,0.04,10,0.7141517
2,2,0.13,9,0.71346474
8,2,0.07,9,0.7132172
5,2,0.03,10,0.71253026
8,2,0.09,10,0.7115628
3,2,0.06,9,0.7106779
5,2,0.14,10,0.71026087
6,2,0.1,10,0.70905805
7,2,0.09,10,0.7090171
2,2,0.07,8,0.70901203
7,2,0.07,10,0.70885676
5,2,0.08,10,0.7086876
4,2,0.12,10,0.70756143
2,2,0.1,9,0.7072602
5,2,0.1,10,0.7070636
5,2,0.05,10,0.70530564
2,2,0.11,9,0.705255
4,2,0.13,10,0.7049832
8,2,0.13,10,0.7048718
3,2,0.09,9,0.7046249
6,2,0.14,10,0.70429736
6,2,0.12,10,0.70422524
7,2,0.12,10,0.7039793
6,2,0.15,10,0.70387614
5,2,0.07,10,0.7037009
9,2,0.03,10,0.7031327
8,2,0.08,10,0.70262074
2,2,0.06,8,0.7024907
10,2,0.11,9,0.7015386
2,2,0.02,9,0.70092595
3,2,0.11,8,0.699033
3,2,0.14,10,0.6989718
4,2,0.07,10,0.6987815
10,2,0.02,10,0.69799364
6,2,0.07,10,0.6978537
10,2,0.06,9,0.6978081
3,2,0.03,8,0.69780046
5,2,0.11,9,0.69762903
4,2,0.06,9,0.69749796
9,2,0.15,10,0.69688463
8,2,0.15,9,0.696873
5,2,0.02,9,0.69669217
2,2,0.03,10,0.69656956
2,2,0.15,10,0.6960323
10,2,0.04,9,0.6958373
10,2,0.14,9,0.69494367
3,2,0.08,8,0.6949123
5,2,0.09,10,0.694754
2,2,0.09,8,0.6928253
8,2,0.05,9,0.69189197
7,2,0.05,10,0.691867
2,2,0.11,8,0.6917804
6,2,0.08,9,0.69077826
10,2,0.09,9,0.6907682
10,3,0.15,5,0.6907611
2,2,0.08,8,0.68977666
5,2,0.06,9,0.6893156
4,2,0.1,9,0.68923956
2,2,0.12,8,0.68873835
10,2,0.1,10,0.68863976
3,2,0.1,9,0.6886005
3,2,0.13,9,0.6872535
10,2,0.08,9,0.6868544
3,2,0.04,9,0.686674
5,2,0.04,10,0.6858933
2,2,0.04,8,0.6857591
8,2,0.09,9,0.68447846
10,2,0.03,9,0.6838316
10,2,0.13,9,0.683309
2,2,0.05,8,0.6832385
4,2,0.11,9,0.6830818
8,2,0.14,10,0.6822303
5,2,0.03,9,0.6818917
6,2,0.06,9,0.68179506
3,2,0.03,7,0.681154
7,2,0.03,10,0.68087864
5,2,0.13,10,0.6804696
8,2,0.04,9,0.6798032
7,2,0.05,9,0.6790071
4,2,0.02,10,0.6789795
4,2,0.15,10,0.6781617
9,2,0.04,9,0.67810166
7,2,0.15,8,0.6774436
6,2,0.11,10,0.67701477
4,2,0.09,9,0.6768733
5,2,0.08,9,0.67673147
7,2,0.02,9,0.6765908
6,2,0.09,10,0.6764655
2,2,0.04,5,0.676383
9,2,0.09,9,0.67618775
8,2,0.12,9,0.67610985
9,2,0.02,10,0.6760222
6,2,0.02,9,0.675808
6,2,0.13,10,0.6757377
10,2,0.15,9,0.67564875
2,2,0.15,8,0.6753969
9,2,0.06,10,0.675124
3,2,0.09,8,0.67511463
10,2,0.07,9,0.6744182
4,2,0.05,9,0.6742808
4,2,0.03,8,0.67375535
8,2,0.02,10,0.6736272
4,2,0.12,9,0.67340904
2,2,0.04,9,0.67180765
5,2,0.07,9,0.67082775
7,2,0.1,10,0.6706636
9,2,0.08,9,0.6704383
8,2,0.03,9,0.6703199
2,2,0.1,7,0.67019176
7,2,0.11,10,0.66889274
8,2,0.13,9,0.6682552
9,2,0.1,10,0.6677301
3,2,0.07,9,0.6676539
3,2,0.14,9,0.66751134
4,2,0.13,9,0.6673749
6,2,0.14,9,0.6673221
8,2,0.08,9,0.666603
2,2,0.15,9,0.66645557
5,2,0.15,10,0.6654081
10,2,0.02,9,0.6649633
8,2,0.1,9,0.66470623
9,2,0.12,10,0.66450346
2,2,0.1,6,0.6644827
4,2,0.1,8,0.6639399
3,2,0.08,7,0.6636745
9,2,0.11,10,0.66345394
6,2,0.15,9,0.662785
7,2,0.12,9,0.6627527
10,2,0.12,8,0.6625645
2,2,0.14,7,0.66256183
2,2,0.15,7,0.66249716
7,2,0.08,10,0.66207486
7,2,0.07,9,0.6615393
3,2,0.15,8,0.66132087
7,2,0.06,9,0.6611468
4,2,0.14,9,0.6610702
8,2,0.06,10,0.66071206
10,2,0.06,8,0.6606192
6,2,0.03,9,0.6601544
5,2,0.14,9,0.659524
5,2,0.1,9,0.6593157
4,2,0.07,9,0.6592618
6,2,0.12,9,0.65895057
7,2,0.14,9,0.6585111
8,2,0.11,9,0.65826124
2,2,0.03,9,0.65789557
2,2,0.09,7,0.65778905
7,2,0.04,9,0.657581
10,2,0.11,8,0.65699977
8,2,0.07,8,0.656961
8,2,0.15,8,0.656622
6,2,0.05,9,0.6566005
3,2,0.12,8,0.6564579
2,2,0.04,6,0.65628153
6,2,0.08,8,0.65574217
10,2,0.03,8,0.65567964
2,2,0.1,8,0.6548409
6,2,0.1,9,0.6547013
4,2,0.08,8,0.6533535
3,2,0.1,8,0.6531151
9,2,0.15,9,0.6530296
3,2,0.05,10,0.65271384
2,3,0.03,8,0.65254813
5,2,0.02,8,0.65247494
8,2,0.09,8,0.6519359
3,2,0.13,8,0.65173846
10,2,0.14,8,0.6509718
7,2,0.13,10,0.6500953
2,2,0.15,6,0.6497576
10,2,0.04,8,0.6496748
6,2,0.04,8,0.6494744
7,2,0.05,8,0.6490082
2,2,0.13,8,0.6489884
7,2,0.09,9,0.64883035
2,2,0.11,7,0.6487722
7,2,0.15,7,0.6482142
7,2,0.03,9,0.6478645
2,2,0.12,7,0.6478515
2,2,0.14,10,0.647799
6,2,0.07,9,0.6475896
9,2,0.08,8,0.64718974
3,2,0.11,7,0.6471177
2,2,0.13,7,0.6470274
8,2,0.13,8,0.6469335
5,2,0.04,9,0.64608735
9,2,0.07,9,0.6453928
5,2,0.06,8,0.6447501
2,3,0.02,8,0.6445276
